date,value,State,Metric
2017-01-01,4877.989,Alabama,Population
2018-01-01,4891.628,Alabama,Population
2019-01-01,4907.965,Alabama,Population
2020-01-01,5031.864,Alabama,Population
2021-01-01,5050.38,Alabama,Population
2022-01-01,5073.903,Alabama,Population
2023-01-01,5108.468,Alabama,Population
1950-01-01,135,Alaska,Population
1951-01-01,158,Alaska,Population
1952-01-01,189,Alaska,Population
1953-01-01,205,Alaska,Population
1954-01-01,215,Alaska,Population
1955-01-01,222,Alaska,Population
1956-01-01,224,Alaska,Population
1957-01-01,231,Alaska,Population
1958-01-01,224,Alaska,Population
1959-01-01,224,Alaska,Population
1960-01-01,229,Alaska,Population
1961-01-01,238,Alaska,Population
1962-01-01,246,Alaska,Population
1963-01-01,256,Alaska,Population
1964-01-01,263,Alaska,Population
1965-01-01,271,Alaska,Population
1966-01-01,271,Alaska,Population
1967-01-01,278,Alaska,Population
1968-01-01,285,Alaska,Population
1969-01-01,296,Alaska,Population
1970-01-01,302.583,Alaska,Population
1971-01-01,315.51,Alaska,Population
1972-01-01,324.464,Alaska,Population
1973-01-01,330.543,Alaska,Population
1974-01-01,341.063,Alaska,Population
1975-01-01,376.17,Alaska,Population
1976-01-01,400.969,Alaska,Population
1977-01-01,403.436,Alaska,Population
1978-01-01,404.766,Alaska,Population
1979-01-01,402.753,Alaska,Population
1980-01-01,405.315,Alaska,Population
1981-01-01,418.491,Alaska,Population
1982-01-01,449.606,Alaska,Population
1983-01-01,488.417,Alaska,Population
1984-01-01,513.702,Alaska,Population
1985-01-01,532.495,Alaska,Population
1986-01-01,544.268,Alaska,Population
1987-01-01,539.309,Alaska,Population
1988-01-01,541.983,Alaska,Population
1989-01-01,547.159,Alaska,Population
1990-01-01,553.12,Alaska,Population
1991-01-01,569.273,Alaska,Population
1992-01-01,587.073,Alaska,Population
1993-01-01,596.993,Alaska,Population
1994-01-01,600.624,Alaska,Population
1995-01-01,601.345,Alaska,Population
1996-01-01,604.918,Alaska,Population
1997-01-01,608.846,Alaska,Population
1998-01-01,615.205,Alaska,Population
1999-01-01,619.5,Alaska,Population
2000-01-01,627.963,Alaska,Population
2001-01-01,633.714,Alaska,Population
2002-01-01,642.337,Alaska,Population
2003-01-01,648.414,Alaska,Population
2004-01-01,659.286,Alaska,Population
2005-01-01,666.946,Alaska,Population
2006-01-01,675.302,Alaska,Population
2007-01-01,680.3,Alaska,Population
2008-01-01,687.455,Alaska,Population
2009-01-01,698.895,Alaska,Population
2010-01-01,713.982,Alaska,Population
2011-01-01,722.349,Alaska,Population
2012-01-01,730.81,Alaska,Population
2013-01-01,737.626,Alaska,Population
2014-01-01,737.075,Alaska,Population
2015-01-01,738.43,Alaska,Population
2016-01-01,742.575,Alaska,Population
2017-01-01,740.983,Alaska,Population
2018-01-01,736.624,Alaska,Population
2019-01-01,733.603,Alaska,Population
2020-01-01,732.964,Alaska,Population
2021-01-01,734.923,Alaska,Population
2022-01-01,733.276,Alaska,Population
2023-01-01,733.406,Alaska,Population
1900-01-01,124,Arizona,Population
1901-01-01,131,Arizona,Population
1902-01-01,138,Arizona,Population
1903-01-01,144,Arizona,Population
1904-01-01,151,Arizona,Population
1905-01-01,158,Arizona,Population
1906-01-01,167,Arizona,Population
1907-01-01,176,Arizona,Population
1908-01-01,186,Arizona,Population
1909-01-01,196,Arizona,Population
1910-01-01,206,Arizona,Population
1911-01-01,212,Arizona,Population
1912-01-01,217,Arizona,Population
1913-01-01,236,Arizona,Population
1914-01-01,253,Arizona,Population
1915-01-01,263,Arizona,Population
1916-01-01,282,Arizona,Population
1917-01-01,311,Arizona,Population
1918-01-01,320,Arizona,Population
1919-01-01,329,Arizona,Population
1920-01-01,340,Arizona,Population
1921-01-01,351,Arizona,Population
1922-01-01,360,Arizona,Population
1923-01-01,371,Arizona,Population
1924-01-01,382,Arizona,Population
1925-01-01,393,Arizona,Population
1926-01-01,403,Arizona,Population
1927-01-01,414,Arizona,Population
1928-01-01,422,Arizona,Population
1929-01-01,430,Arizona,Population
1930-01-01,434,Arizona,Population
1931-01-01,429,Arizona,Population
1932-01-01,426,Arizona,Population
1933-01-01,426,Arizona,Population
1934-01-01,428,Arizona,Population
1935-01-01,434,Arizona,Population
1936-01-01,443,Arizona,Population
1937-01-01,453,Arizona,Population
1938-01-01,466,Arizona,Population
1939-01-01,484,Arizona,Population
1940-01-01,499,Arizona,Population
1941-01-01,490,Arizona,Population
1942-01-01,524,Arizona,Population
1943-01-01,692,Arizona,Population
1944-01-01,610,Arizona,Population
1945-01-01,594,Arizona,Population
1946-01-01,616,Arizona,Population
1947-01-01,653,Arizona,Population
1948-01-01,690,Arizona,Population
1949-01-01,714,Arizona,Population
1950-01-01,756,Arizona,Population
1951-01-01,785,Arizona,Population
1952-01-01,842,Arizona,Population
1953-01-01,894,Arizona,Population
1954-01-01,933,Arizona,Population
1955-01-01,987,Arizona,Population
1956-01-01,1053,Arizona,Population
1957-01-01,1125,Arizona,Population
1958-01-01,1193,Arizona,Population
1959-01-01,1261,Arizona,Population
1960-01-01,1321,Arizona,Population
1961-01-01,1407,Arizona,Population
1962-01-01,1471,Arizona,Population
1963-01-01,1521,Arizona,Population
1964-01-01,1556,Arizona,Population
1965-01-01,1584,Arizona,Population
1966-01-01,1614,Arizona,Population
1967-01-01,1646,Arizona,Population
1968-01-01,1682,Arizona,Population
1969-01-01,1737,Arizona,Population
1970-01-01,1775.399,Arizona,Population
1971-01-01,1895.814,Arizona,Population
1972-01-01,2008.291,Arizona,Population
1973-01-01,2124.438,Arizona,Population
1974-01-01,2223.196,Arizona,Population
1975-01-01,2284.847,Arizona,Population
1976-01-01,2346.157,Arizona,Population
1977-01-01,2425.197,Arizona,Population
1978-01-01,2515.316,Arizona,Population
1979-01-01,2635.571,Arizona,Population
1980-01-01,2737.774,Arizona,Population
1981-01-01,2810.107,Arizona,Population
1982-01-01,2889.861,Arizona,Population
1983-01-01,2968.925,Arizona,Population
1984-01-01,3067.135,Arizona,Population
1985-01-01,3183.538,Arizona,Population
1986-01-01,3308.262,Arizona,Population
1987-01-01,3437.103,Arizona,Population
1988-01-01,3535.183,Arizona,Population
1989-01-01,3622.185,Arizona,Population
1990-01-01,3679.056,Arizona,Population
1991-01-01,3762.394,Arizona,Population
1992-01-01,3867.333,Arizona,Population
1993-01-01,3993.39,Arizona,Population
1994-01-01,4147.561,Arizona,Population
1995-01-01,4306.908,Arizona,Population
1996-01-01,4432.308,Arizona,Population
1997-01-01,4552.207,Arizona,Population
1998-01-01,4667.277,Arizona,Population
1999-01-01,4778.332,Arizona,Population
2000-01-01,5160.586,Arizona,Population
2001-01-01,5273.477,Arizona,Population
2002-01-01,5396.255,Arizona,Population
2003-01-01,5510.364,Arizona,Population
2004-01-01,5652.404,Arizona,Population
2005-01-01,5839.077,Arizona,Population
2006-01-01,6029.141,Arizona,Population
2007-01-01,6167.681,Arizona,Population
2008-01-01,6280.362,Arizona,Population
2009-01-01,6343.154,Arizona,Population
2010-01-01,6407.342,Arizona,Population
2011-01-01,6473.416,Arizona,Population
2012-01-01,6556.344,Arizona,Population
2013-01-01,6634.69,Arizona,Population
2014-01-01,6732.873,Arizona,Population
2015-01-01,6832.81,Arizona,Population
2016-01-01,6944.767,Arizona,Population
2017-01-01,7048.088,Arizona,Population
2018-01-01,7164.228,Arizona,Population
2019-01-01,7291.843,Arizona,Population
2020-01-01,7186.683,Arizona,Population
2021-01-01,7272.487,Arizona,Population
2022-01-01,7365.684,Arizona,Population
2023-01-01,7431.344,Arizona,Population
1900-01-01,1314,Arkansas,Population
1901-01-01,1341,Arkansas,Population
1902-01-01,1360,Arkansas,Population
1903-01-01,1384,Arkansas,Population
1904-01-01,1419,Arkansas,Population
1905-01-01,1447,Arkansas,Population
1906-01-01,1465,Arkansas,Population
1907-01-01,1484,Arkansas,Population
1908-01-01,1513,Arkansas,Population
1909-01-01,1545,Arkansas,Population
1910-01-01,1583,Arkansas,Population
1911-01-01,1610,Arkansas,Population
1912-01-01,1636,Arkansas,Population
1913-01-01,1664,Arkansas,Population
1914-01-01,1688,Arkansas,Population
1915-01-01,1702,Arkansas,Population
1916-01-01,1719,Arkansas,Population
1917-01-01,1737,Arkansas,Population
1918-01-01,1749,Arkansas,Population
1919-01-01,1742,Arkansas,Population
1920-01-01,1756,Arkansas,Population
1921-01-01,1769,Arkansas,Population
1922-01-01,1772,Arkansas,Population
1923-01-01,1784,Arkansas,Population
1924-01-01,1800,Arkansas,Population
1925-01-01,1812,Arkansas,Population
1926-01-01,1826,Arkansas,Population
1927-01-01,1840,Arkansas,Population
1928-01-01,1847,Arkansas,Population
1929-01-01,1852,Arkansas,Population
1930-01-01,1859,Arkansas,Population
1931-01-01,1848,Arkansas,Population
1932-01-01,1836,Arkansas,Population
1933-01-01,1854,Arkansas,Population
1934-01-01,1878,Arkansas,Population
1935-01-01,1890,Arkansas,Population
1936-01-01,1892,Arkansas,Population
1937-01-01,1903,Arkansas,Population
1938-01-01,1928,Arkansas,Population
1939-01-01,1948,Arkansas,Population
1940-01-01,1955,Arkansas,Population
1941-01-01,1969,Arkansas,Population
1942-01-01,1977,Arkansas,Population
1943-01-01,1843,Arkansas,Population
1944-01-01,1768,Arkansas,Population
1945-01-01,1762,Arkansas,Population
1946-01-01,1797,Arkansas,Population
1947-01-01,1836,Arkansas,Population
1948-01-01,1825,Arkansas,Population
1949-01-01,1844,Arkansas,Population
1950-01-01,1908,Arkansas,Population
1951-01-01,1901,Arkansas,Population
1952-01-01,1838,Arkansas,Population
1953-01-01,1780,Arkansas,Population
1954-01-01,1734,Arkansas,Population
1955-01-01,1725,Arkansas,Population
1956-01-01,1704,Arkansas,Population
1957-01-01,1733,Arkansas,Population
1958-01-01,1726,Arkansas,Population
1959-01-01,1756,Arkansas,Population
1960-01-01,1789,Arkansas,Population
1961-01-01,1806,Arkansas,Population
1962-01-01,1853,Arkansas,Population
1963-01-01,1875,Arkansas,Population
1964-01-01,1897,Arkansas,Population
1965-01-01,1894,Arkansas,Population
1966-01-01,1899,Arkansas,Population
1967-01-01,1901,Arkansas,Population
1968-01-01,1902,Arkansas,Population
1969-01-01,1913,Arkansas,Population
1970-01-01,1923.322,Arkansas,Population
1971-01-01,1972.312,Arkansas,Population
1972-01-01,2018.638,Arkansas,Population
1973-01-01,2059.256,Arkansas,Population
1974-01-01,2101.403,Arkansas,Population
1975-01-01,2159.526,Arkansas,Population
1976-01-01,2170.161,Arkansas,Population
1977-01-01,2209.01,Arkansas,Population
1978-01-01,2243.127,Arkansas,Population
1979-01-01,2271.333,Arkansas,Population
1980-01-01,2288.738,Arkansas,Population
1981-01-01,2293.201,Arkansas,Population
1982-01-01,2294.257,Arkansas,Population
1983-01-01,2305.761,Arkansas,Population
1984-01-01,2319.768,Arkansas,Population
1985-01-01,2327.046,Arkansas,Population
1986-01-01,2331.984,Arkansas,Population
1987-01-01,2342.355,Arkansas,Population
1988-01-01,2342.656,Arkansas,Population
1989-01-01,2346.358,Arkansas,Population
1990-01-01,2354.343,Arkansas,Population
1991-01-01,2370.666,Arkansas,Population
1992-01-01,2394.098,Arkansas,Population
1993-01-01,2423.743,Arkansas,Population
1994-01-01,2450.605,Arkansas,Population
1995-01-01,2480.121,Arkansas,Population
1996-01-01,2504.858,Arkansas,Population
1997-01-01,2524.007,Arkansas,Population
1998-01-01,2538.202,Arkansas,Population
1999-01-01,2551.373,Arkansas,Population
2000-01-01,2678.588,Arkansas,Population
2001-01-01,2691.571,Arkansas,Population
2002-01-01,2705.927,Arkansas,Population
2003-01-01,2724.816,Arkansas,Population
2004-01-01,2749.686,Arkansas,Population
2005-01-01,2781.097,Arkansas,Population
2006-01-01,2821.761,Arkansas,Population
2007-01-01,2848.65,Arkansas,Population
2008-01-01,2874.554,Arkansas,Population
2009-01-01,2896.843,Arkansas,Population
2010-01-01,2921.998,Arkansas,Population
2011-01-01,2941.038,Arkansas,Population
2012-01-01,2952.876,Arkansas,Population
2013-01-01,2960.459,Arkansas,Population
2014-01-01,2968.759,Arkansas,Population
2015-01-01,2979.732,Arkansas,Population
2016-01-01,2991.815,Arkansas,Population
2017-01-01,3003.855,Arkansas,Population
2018-01-01,3012.161,Arkansas,Population
2019-01-01,3020.985,Arkansas,Population
2020-01-01,3014.348,Arkansas,Population
2021-01-01,3028.443,Arkansas,Population
2022-01-01,3046.404,Arkansas,Population
2023-01-01,3067.732,Arkansas,Population
1900-01-01,1490,California,Population
1901-01-01,1550,California,Population
1902-01-01,1623,California,Population
1903-01-01,1702,California,Population
1904-01-01,1792,California,Population
1905-01-01,1893,California,Population
1906-01-01,1976,California,Population
1907-01-01,2054,California,Population
1908-01-01,2161,California,Population
1909-01-01,2282,California,Population
1910-01-01,2406,California,Population
1911-01-01,2534,California,Population
1912-01-01,2668,California,Population
1913-01-01,2811,California,Population
1914-01-01,2934,California,Population
1915-01-01,3008,California,Population
1916-01-01,3071,California,Population
1917-01-01,3171,California,Population
1918-01-01,3262,California,Population
1919-01-01,3339,California,Population
1920-01-01,3554,California,Population
1921-01-01,3795,California,Population
1922-01-01,3991,California,Population
1923-01-01,4270,California,Population
1924-01-01,4541,California,Population
1925-01-01,4730,California,Population
1926-01-01,4929,California,Population
1927-01-01,5147,California,Population
1928-01-01,5344,California,Population
1929-01-01,5531,California,Population
1930-01-01,5711,California,Population
1931-01-01,5824,California,Population
1932-01-01,5894,California,Population
1933-01-01,5963,California,Population
1934-01-01,6060,California,Population
1935-01-01,6175,California,Population
1936-01-01,6341,California,Population
1937-01-01,6528,California,Population
1938-01-01,6656,California,Population
1939-01-01,6785,California,Population
1940-01-01,6950,California,Population
1941-01-01,7237,California,Population
1942-01-01,7735,California,Population
1943-01-01,8506,California,Population
1944-01-01,8945,California,Population
1945-01-01,9344,California,Population
1946-01-01,9559,California,Population
1947-01-01,9832,California,Population
1948-01-01,10064,California,Population
1949-01-01,10337,California,Population
1950-01-01,10677,California,Population
1951-01-01,11134,California,Population
1952-01-01,11635,California,Population
1953-01-01,12251,California,Population
1954-01-01,12746,California,Population
1955-01-01,13133,California,Population
1956-01-01,13713,California,Population
1957-01-01,14264,California,Population
1958-01-01,14880,California,Population
1959-01-01,15467,California,Population
1960-01-01,15870,California,Population
1961-01-01,16497,California,Population
1962-01-01,17072,California,Population
1963-01-01,17668,California,Population
1964-01-01,18151,California,Population
1965-01-01,18585,California,Population
1966-01-01,18858,California,Population
1967-01-01,19176,California,Population
1968-01-01,19394,California,Population
1969-01-01,19711,California,Population
1970-01-01,19971.069,California,Population
1971-01-01,20345.939,California,Population
1972-01-01,20585.469,California,Population
1973-01-01,20868.728,California,Population
1974-01-01,21173.865,California,Population
1975-01-01,21537.849,California,Population
1976-01-01,21935.909,California,Population
1977-01-01,22352.396,California,Population
1978-01-01,22835.958,California,Population
1979-01-01,23256.88,California,Population
1980-01-01,23800.8,California,Population
1981-01-01,24285.933,California,Population
1982-01-01,24820.009,California,Population
1983-01-01,25360.026,California,Population
1984-01-01,25844.393,California,Population
1985-01-01,26441.109,California,Population
1986-01-01,27102.237,California,Population
1987-01-01,27777.158,California,Population
1988-01-01,28464.249,California,Population
1989-01-01,29218.164,California,Population
1990-01-01,29950.111,California,Population
1991-01-01,30414.114,California,Population
1992-01-01,30875.92,California,Population
1993-01-01,31147.208,California,Population
1994-01-01,31317.179,California,Population
1995-01-01,31493.525,California,Population
1996-01-01,31780.829,California,Population
1997-01-01,32217.708,California,Population
1998-01-01,32682.794,California,Population
1999-01-01,33145.121,California,Population
2000-01-01,33987.977,California,Population
2001-01-01,34479.458,California,Population
2002-01-01,34871.843,California,Population
2003-01-01,35253.159,California,Population
2004-01-01,35574.576,California,Population
2005-01-01,35827.943,California,Population
2006-01-01,36021.202,California,Population
2007-01-01,36250.311,California,Population
2008-01-01,36604.337,California,Population
2009-01-01,36961.229,California,Population
2010-01-01,37319.55,California,Population
2011-01-01,37636.311,California,Population
2012-01-01,37944.551,California,Population
2013-01-01,38253.768,California,Population
2014-01-01,38586.706,California,Population
2015-01-01,38904.296,California,Population
2016-01-01,39149.186,California,Population
2017-01-01,39337.785,California,Population
2018-01-01,39437.463,California,Population
2019-01-01,39437.61,California,Population
2020-01-01,39503.2,California,Population
2021-01-01,39145.06,California,Population
2022-01-01,39040.616,California,Population
2023-01-01,38965.193,California,Population
1900-01-01,543,Colorado,Population
1901-01-01,581,Colorado,Population
1902-01-01,621,Colorado,Population
1903-01-01,652,Colorado,Population
1904-01-01,659,Colorado,Population
1905-01-01,680,Colorado,Population
1906-01-01,707,Colorado,Population
1907-01-01,733,Colorado,Population
1908-01-01,757,Colorado,Population
1909-01-01,775,Colorado,Population
1910-01-01,804,Colorado,Population
1911-01-01,821,Colorado,Population
1912-01-01,832,Colorado,Population
1913-01-01,835,Colorado,Population
1914-01-01,846,Colorado,Population
1915-01-01,868,Colorado,Population
1916-01-01,892,Colorado,Population
1917-01-01,910,Colorado,Population
1918-01-01,906,Colorado,Population
1919-01-01,938,Colorado,Population
1920-01-01,937,Colorado,Population
1921-01-01,961,Colorado,Population
1922-01-01,965,Colorado,Population
1923-01-01,984,Colorado,Population
1924-01-01,1014,Colorado,Population
1925-01-01,1019,Colorado,Population
1926-01-01,1016,Colorado,Population
1927-01-01,1028,Colorado,Population
1928-01-01,1014,Colorado,Population
1929-01-01,1008,Colorado,Population
1930-01-01,1040,Colorado,Population
1931-01-01,1056,Colorado,Population
1932-01-01,1066,Colorado,Population
1933-01-01,1071,Colorado,Population
1934-01-01,1075,Colorado,Population
1935-01-01,1078,Colorado,Population
1936-01-01,1090,Colorado,Population
1937-01-01,1104,Colorado,Population
1938-01-01,1112,Colorado,Population
1939-01-01,1120,Colorado,Population
1940-01-01,1130,Colorado,Population
1941-01-01,1124,Colorado,Population
1942-01-01,1113,Colorado,Population
1943-01-01,1153,Colorado,Population
1944-01-01,1137,Colorado,Population
1945-01-01,1116,Colorado,Population
1946-01-01,1203,Colorado,Population
1947-01-01,1237,Colorado,Population
1948-01-01,1263,Colorado,Population
1949-01-01,1295,Colorado,Population
1950-01-01,1325,Colorado,Population
1951-01-01,1326,Colorado,Population
1952-01-01,1365,Colorado,Population
1953-01-01,1431,Colorado,Population
1954-01-01,1493,Colorado,Population
1955-01-01,1546,Colorado,Population
1956-01-01,1625,Colorado,Population
1957-01-01,1664,Colorado,Population
1958-01-01,1667,Colorado,Population
1959-01-01,1710,Colorado,Population
1960-01-01,1769,Colorado,Population
1961-01-01,1844,Colorado,Population
1962-01-01,1899,Colorado,Population
1963-01-01,1936,Colorado,Population
1964-01-01,1970,Colorado,Population
1965-01-01,1985,Colorado,Population
1966-01-01,2007,Colorado,Population
1967-01-01,2053,Colorado,Population
1968-01-01,2120,Colorado,Population
1969-01-01,2166,Colorado,Population
1970-01-01,2209.596,Colorado,Population
1971-01-01,2303.524,Colorado,Population
1972-01-01,2404.619,Colorado,Population
1973-01-01,2495.868,Colorado,Population
1974-01-01,2541.406,Colorado,Population
1975-01-01,2586.192,Colorado,Population
1976-01-01,2632.306,Colorado,Population
1977-01-01,2696.14,Colorado,Population
1978-01-01,2766.748,Colorado,Population
1979-01-01,2849.234,Colorado,Population
1980-01-01,2908.803,Colorado,Population
1981-01-01,2977.898,Colorado,Population
1982-01-01,3061.564,Colorado,Population
1983-01-01,3133.63,Colorado,Population
1984-01-01,3169.992,Colorado,Population
1985-01-01,3208.723,Colorado,Population
1986-01-01,3237.45,Colorado,Population
1987-01-01,3260.48,Colorado,Population
1988-01-01,3262.281,Colorado,Population
1989-01-01,3275.818,Colorado,Population
1990-01-01,3303.862,Colorado,Population
1991-01-01,3367.567,Colorado,Population
1992-01-01,3459.995,Colorado,Population
1993-01-01,3560.884,Colorado,Population
1994-01-01,3653.91,Colorado,Population
1995-01-01,3738.061,Colorado,Population
1996-01-01,3812.716,Colorado,Population
1997-01-01,3891.293,Colorado,Population
1998-01-01,3968.967,Colorado,Population
1999-01-01,4056.133,Colorado,Population
2000-01-01,4326.921,Colorado,Population
2001-01-01,4425.687,Colorado,Population
2002-01-01,4490.406,Colorado,Population
2003-01-01,4528.732,Colorado,Population
2004-01-01,4575.013,Colorado,Population
2005-01-01,4631.888,Colorado,Population
2006-01-01,4720.423,Colorado,Population
2007-01-01,4803.868,Colorado,Population
2008-01-01,4889.73,Colorado,Population
2009-01-01,4972.195,Colorado,Population
2010-01-01,5047.539,Colorado,Population
2011-01-01,5121.9,Colorado,Population
2012-01-01,5193.66,Colorado,Population
2013-01-01,5270.774,Colorado,Population
2014-01-01,5352.637,Colorado,Population
2015-01-01,5454.328,Colorado,Population
2016-01-01,5543.844,Colorado,Population
2017-01-01,5617.421,Colorado,Population
2018-01-01,5697.155,Colorado,Population
2019-01-01,5758.486,Colorado,Population
2020-01-01,5785.219,Colorado,Population
2021-01-01,5811.596,Colorado,Population
2022-01-01,5841.039,Colorado,Population
2023-01-01,5877.61,Colorado,Population
1900-01-01,910,Connecticut,Population
1901-01-01,931,Connecticut,Population
1902-01-01,952,Connecticut,Population
1903-01-01,972,Connecticut,Population
1904-01-01,987,Connecticut,Population
1905-01-01,1010,Connecticut,Population
1906-01-01,1033,Connecticut,Population
1907-01-01,1057,Connecticut,Population
1908-01-01,1077,Connecticut,Population
1909-01-01,1097,Connecticut,Population
1910-01-01,1122,Connecticut,Population
1911-01-01,1149,Connecticut,Population
1912-01-01,1176,Connecticut,Population
1913-01-01,1208,Connecticut,Population
1914-01-01,1233,Connecticut,Population
1915-01-01,1258,Connecticut,Population
1916-01-01,1294,Connecticut,Population
1917-01-01,1327,Connecticut,Population
1918-01-01,1329,Connecticut,Population
1919-01-01,1359,Connecticut,Population
1920-01-01,1391,Connecticut,Population
1921-01-01,1415,Connecticut,Population
1922-01-01,1431,Connecticut,Population
1923-01-01,1455,Connecticut,Population
1924-01-01,1481,Connecticut,Population
1925-01-01,1506,Connecticut,Population
1926-01-01,1531,Connecticut,Population
1927-01-01,1557,Connecticut,Population
1928-01-01,1577,Connecticut,Population
1929-01-01,1594,Connecticut,Population
1930-01-01,1613,Connecticut,Population
1931-01-01,1628,Connecticut,Population
1932-01-01,1637,Connecticut,Population
1933-01-01,1642,Connecticut,Population
1934-01-01,1650,Connecticut,Population
1935-01-01,1666,Connecticut,Population
1936-01-01,1672,Connecticut,Population
1937-01-01,1678,Connecticut,Population
1938-01-01,1684,Connecticut,Population
1939-01-01,1696,Connecticut,Population
1940-01-01,1708,Connecticut,Population
1941-01-01,1746,Connecticut,Population
1942-01-01,1792,Connecticut,Population
1943-01-01,1792,Connecticut,Population
1944-01-01,1778,Connecticut,Population
1945-01-01,1769,Connecticut,Population
1946-01-01,1906,Connecticut,Population
1947-01-01,1967,Connecticut,Population
1948-01-01,2014,Connecticut,Population
1949-01-01,2032,Connecticut,Population
1950-01-01,2016,Connecticut,Population
1951-01-01,2028,Connecticut,Population
1952-01-01,2081,Connecticut,Population
1953-01-01,2168,Connecticut,Population
1954-01-01,2249,Connecticut,Population
1955-01-01,2300,Connecticut,Population
1956-01-01,2316,Connecticut,Population
1957-01-01,2359,Connecticut,Population
1958-01-01,2446,Connecticut,Population
1959-01-01,2523,Connecticut,Population
1960-01-01,2544,Connecticut,Population
1961-01-01,2586,Connecticut,Population
1962-01-01,2647,Connecticut,Population
1963-01-01,2727,Connecticut,Population
1964-01-01,2798,Connecticut,Population
