pollster,poll_id,state,start_date,end_date,DEM,REP,Delta,date,Quarter_2018-4,Quarter_2019-1,Quarter_2019-2,Quarter_2019-3,Quarter_2019-4,Quarter_2020-1,Quarter_2020-2,Quarter_2020-3,Quarter_2020-4,Quarter_2021-2,Quarter_2021-3,Quarter_2021-4,Quarter_2022-1,Quarter_2022-2,Quarter_2022-3,Quarter_2022-4,Quarter_2023-1,Quarter_2023-2,Quarter_2023-3,Quarter_2023-4,Quarter_2024-1,Quarter_2024-2,Quarter_2024-3,Quarter_2024-4,Day_Series,Prior_Delta,Swing
Emerson,57445,Iowa,1/30/19,2/2/19,46.53333333333333,52.2,52.833333333333336,2019-02-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,50,2.8333333333333357
OH Predictive Insights / MBQF,57556,Arizona,2/12/19,2/13/19,40.25,48.25,54,2019-02-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,50,4
Harper Polling,57543,North Carolina,2/11/19,2/13/19,35.75,44.5,54.375,2019-02-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,49.5,4.875
PPP,57528,Texas,2/13/19,2/14/19,43,49,53,2019-02-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,56.5,-3.5
Emerson,57532,National,2/14/19,2/16/19,51.15,46.94,47.894999999999996,2019-02-16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,50.516666666666666,-2.6216666666666697
Emerson,57574,New Hampshire,2/21/19,2/22/19,50.82857142857143,46.142857142857146,47.65714285714286,2019-02-22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,44.65,3.00714285714286
D-CYFOR,57608,National,2/22/19,2/23/19,47.4,41.8,47.2,2019-02-23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,47.894999999999996,-0.6949999999999932
Quinnipiac,57601,Texas,2/20/19,2/25/19,43.333333333333336,47.166666666666664,51.916666666666664,2019-02-25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,53,-1.0833333333333357
Emerson,57612,South Carolina,2/28/19,3/2/19,44.522222222222226,53.98888888888889,54.733333333333334,2019-03-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,50,4.733333333333334
DFM Research,57640,Minnesota,2/26/19,3/3/19,52,35,41.5,2019-03-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,50,-8.5
Change Research,57732,National,3/8/19,3/10/19,47.81333333333333,45.96,49.07333333333334,2019-03-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,47.2,1.8733333333333348
Emerson,57656,Michigan,3/7/19,3/10/19,51.77142857142857,46.84285714285714,47.535714285714285,2019-03-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,46.087500000000006,1.448214285714279
Civiqs,57684,National,3/9/19,3/12/19,44.5,43.833333333333336,49.66666666666667,2019-03-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,49.07333333333334,0.5933333333333337
Emerson,57697,Wisconsin,3/15/19,3/17/19,51.1375,47.6375,48.25,2019-03-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,50,-1.75
Emerson,57712,National,3/17/19,3/18/19,50.51428571428571,47.44285714285714,48.464285714285715,2019-03-18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,49.66666666666667,-1.202380952380956
HarrisX,57714,National,3/17/19,3/18/19,34.875,35.875,50.5,2019-03-18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,48.464285714285715,2.0357142857142847
HarrisX,57744,National,3/19/19,3/20/19,28.125,35.75,53.8125,2019-03-20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,50.5,3.3125
Beacon/Shaw,57741,National,3/17/19,3/20/19,42.5,41,49.25,2019-03-20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,53.8125,-4.5625
Øptimus,57752,Wisconsin,3/19/19,3/21/19,48.666666666666664,41,46.16666666666667,2019-03-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,48.25,-2.0833333333333286
Øptimus,57753,Michigan,3/19/19,3/21/19,43,46.666666666666664,51.83333333333333,2019-03-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,47.535714285714285,4.297619047619044
Øptimus,57754,Pennsylvania,3/19/19,3/21/19,44.666666666666664,44.666666666666664,50,2019-03-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,50,0
Emerson,57742,Iowa,3/21/19,3/24/19,48.2,49.72857142857143,50.76428571428571,2019-03-24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,52.833333333333336,-2.0690476190476232
PPP,57802,National,3/27/19,3/28/19,48.125,41,46.4375,2019-03-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,49.25,-2.8125
Emerson,57788,Pennsylvania,3/26/19,3/28/19,52.66,47.34,47.34,2019-03-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,50,-2.6599999999999966
Rasmussen,57791,National,3/17/19,3/28/19,49,44,47.5,2019-03-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,46.4375,1.0625
Emerson,57799,Nevada,3/28/19,3/30/19,48.78,51.22,51.22,2019-03-30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,50,1.2199999999999989
HarrisX,57820,National,3/31/19,4/1/19,34.125,37.875,51.875,2019-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,47.5,4.375
HarrisX,57835,National,4/3/19,4/4/19,26.875,37,55.0625,2019-04-04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,51.875,3.1875
Emerson,57834,Massachusetts,4/4/19,4/7/19,65.23333333333333,34.766666666666666,34.766666666666666,2019-04-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,50,-15.233333333333334
Civiqs,57871,National,4/6/19,4/9/19,44.25,44.75,50.25,2019-04-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,55.0625,-4.8125
Remington,59437,Missouri,4/10/19,4/11/19,39,51.25,56.125,2019-04-11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,50,6.125
Rasmussen,57878,National,3/31/19,4/11/19,44,47,51.5,2019-04-11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,50.25,1.25
Emerson,57884,National,4/11/19,4/14/19,50.45,49.55,49.55,2019-04-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,51.5,-1.9500000000000028
Zogby,57947,Wisconsin,4/15/19,4/18/19,46.166666666666664,41.166666666666664,47.5,2019-04-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,46.16666666666667,1.3333333333333286
Tulchin Research,57931,Michigan,4/14/19,4/18/19,52,41,44.5,2019-04-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,51.83333333333333,-7.333333333333329
Tulchin Research,57932,Wisconsin,4/14/19,4/18/19,52,42,45,2019-04-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,47.5,-2.5
Tulchin Research,57933,Pennsylvania,4/14/19,4/18/19,51,43,46,2019-04-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,47.34,-1.3400000000000034
Morning Consult,57929,National,4/19/19,4/21/19,42,34,46,2019-04-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,49.55,-3.549999999999997
Rasmussen,57956,National,4/14/19,4/25/19,40,44,52,2019-04-25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,46,6
HarrisX,57957,National,4/25/19,4/26/19,43,37,47,2019-04-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,52,-5
Emerson,57962,Texas,4/25/19,4/28/19,48.11666666666667,51.88333333333333,51.88333333333333,2019-04-28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,51.916666666666664,-0.03333333333333144
CNN/SSRS,57973,National,4/25/19,4/28/19,49.333333333333336,44.666666666666664,47.666666666666664,2019-04-28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,47,0.6666666666666643
HarrisX,57982,National,4/28/19,4/29/19,29,37.81818181818182,54.40909090909091,2019-04-29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,47.666666666666664,6.742424242424242
WPAi,58044,Florida,4/27/19,4/30/19,44,48,52,2019-04-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,50,2
WPAi,58045,Iowa,4/27/19,4/30/19,44,49,52.5,2019-04-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,50.76428571428571,1.7357142857142875
WPAi,58046,Texas,4/27/19,4/30/19,42,49,53.5,2019-04-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,51.88333333333333,1.6166666666666671
WPAi,58047,Wisconsin,4/27/19,4/30/19,42,46,52,2019-04-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,45,7
WPAi,58048,Michigan,4/27/19,4/30/19,45,42,48.5,2019-04-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,44.5,4
WPAi,58049,Pennsylvania,4/27/19,4/30/19,46,45,49.5,2019-04-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,46,3.5
HarrisX,57990,National,4/30/19,5/1/19,26.1,39,56.45,2019-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,54.40909090909091,2.0409090909090963
OH Predictive Insights / MBQF,58013,Arizona,5/1/19,5/2/19,40.666666666666664,46.166666666666664,52.75,2019-05-02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,54,-1.25
Zogby,58065,National,5/2/19,5/9/19,45,40.5,47.75,2019-05-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,56.45,-8.700000000000003
Rasmussen,58038,National,4/28/19,5/9/19,42,47,52.5,2019-05-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,47.75,4.75
Emerson,58058,National,5/10/19,5/13/19,52.266666666666666,47.733333333333334,47.733333333333334,2019-05-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,52.5,-4.766666666666666
Civiqs,58087,National,5/12/19,5/14/19,48,44.5,48.25,2019-05-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,47.733333333333334,0.5166666666666657
Beacon/Shaw,58085,National,5/11/19,5/14/19,43.8,40.4,48.3,2019-05-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,48.25,0.04999999999999716
Quinnipiac,58082,Pennsylvania,5/9/19,5/14/19,47.333333333333336,44,48.33333333333333,2019-05-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,49.5,-1.1666666666666714
DFM Research,58788,North Dakota,5/14/19,5/18/19,39,54,57.5,2019-05-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,50,7.5
Florida Atlantic University,58117,Florida,5/16/19,5/19/19,48.36,51.64,51.64,2019-05-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,52,-0.35999999999999943
Change Research,58135,National,5/18/19,5/21/19,46.166666666666664,45.833333333333336,49.833333333333336,2019-05-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,48.3,1.5333333333333385
Rasmussen,58133,National,5/12/19,5/23/19,46,44,49,2019-05-23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,49.833333333333336,-0.8333333333333357
HarrisX,58174,National,5/25/19,5/26/19,28.818181818181817,38.63636363636363,54.90909090909091,2019-05-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,49,5.9090909090909065
HarrisX,58175,National,5/26/19,5/27/19,27.4,37.1,54.85,2019-05-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,54.90909090909091,-0.059090909090905086
Glengariff Group Inc.,58192,Michigan,5/28/19,5/30/19,48.766666666666666,41.46666666666667,46.35,2019-05-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,48.5,-2.1499999999999986
Spry Strategies,58390,North Carolina,5/25/19,6/1/19,41,52,55.5,2019-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,54.375,1.125
Emerson,58187,North Carolina,5/31/19,6/3/19,52.14,47.86,47.86,2019-06-03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,55.5,-7.640000000000001
Quinnipiac,58198,Texas,5/29/19,6/4/19,44.57142857142857,46.285714285714285,50.85714285714286,2019-06-04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,53.5,-2.642857142857139
Ipsos,58389,National,5/29/19,6/5/19,42.6,36.1,46.75,2019-06-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,54.85,-8.100000000000001
Basswood Research,58751,National,6/3/19,6/6/19,46.25,44.55,49.15,2019-06-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,46.75,2.3999999999999986
Siena,58399,New York,6/2/19,6/6/19,53,35,41,2019-06-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,50,-9
Rasmussen,58393,National,5/26/19,6/6/19,38,46,54,2019-06-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,49.15,4.850000000000001
Morning Consult,58411,National,6/7/19,6/9/19,33,32.285714285714285,49.64285714285714,2019-06-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,54,-4.357142857142861
Quinnipiac,58418,National,6/6/19,6/10/19,49.333333333333336,41.5,46.08333333333333,2019-06-10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,49.64285714285714,-3.55952380952381
Ipsos,58426,National,6/10/19,6/11/19,40.666666666666664,35.5,47.41666666666667,2019-06-11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,46.08333333333333,1.3333333333333428
Gravis Marketing (2020 and earlier),58473,Kentucky,6/11/19,6/12/19,32,58.5,63.25,2019-06-12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,50,13.25
Beacon/Shaw,58467,National,6/9/19,6/12/19,44.8,40.2,47.7,2019-06-12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,47.41666666666667,0.28333333333333144
EPIC/MRA,58452,Michigan,6/8/19,6/12/19,52,41,44.5,2019-06-12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,46.35,-1.8500000000000014
Øptimus,58482,Wisconsin,6/11/19,6/13/19,43.25,40.5,48.625,2019-06-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,52,-3.375
Øptimus,58483,Michigan,6/11/19,6/13/19,42.75,43.5,50.375,2019-06-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,44.5,5.875
Øptimus,58484,Pennsylvania,6/11/19,6/13/19,37.5,44,53.25,2019-06-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,48.33333333333333,4.916666666666671
Change Research,58465,South Carolina,6/11/19,6/14/19,34.25,54,59.875,2019-06-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,54.733333333333334,5.141666666666666
St. Pete Polls,58500,Florida,6/15/19,6/16/19,47.3,46.8,49.75,2019-06-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,51.64,-1.8900000000000006
Quinnipiac,58488,Florida,6/12/19,6/17/19,46.5,42.833333333333336,48.16666666666667,2019-06-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,49.75,-1.5833333333333286
PPP,58512,North Carolina,6/17/19,6/18/19,46.6,47,50.2,2019-06-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,47.86,2.3400000000000034
Rasmussen,58517,National,6/9/19,6/20/19,43,45,51,2019-06-20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,47.7,3.299999999999997
HarrisX,58542,National,6/22/19,6/23/19,33.333333333333336,40.666666666666664,53.666666666666664,2019-06-23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,51,2.6666666666666643
Gravis Marketing (2020 and earlier),58565,Maine,6/24/19,6/24/19,52.4,47.6,47.6,2019-06-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,50,-2.3999999999999986
HarrisX,58543,National,6/23/19,6/24/19,25.428571428571427,37.857142857142854,56.214285714285715,2019-06-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,53.666666666666664,2.547619047619051
Emerson,58535,National,6/21/19,6/24/19,53.379999999999995,46.620000000000005,46.620000000000005,2019-06-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,56.214285714285715,-9.59428571428571
ABC/Washington Post,58602,National,6/28/19,7/1/19,50.1,44.9,47.4,2019-07-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,46.620000000000005,0.779999999999994
Rasmussen,58616,National,6/23/19,7/2/19,48,44,48,2019-07-02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,47.4,0.6000000000000014
Emerson,58623,National,7/6/19,7/8/19,50.22,49.78,49.78,2019-07-08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,48,1.7800000000000011
PPP,58626,National,7/3/19,7/8/19,42,41,49.5,2019-07-08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,49.78,-0.28000000000000114
Hart/POS,58646,National,7/7/19,7/9/19,48.5,43,47.25,2019-07-09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,49.5,-2.25
1892 Polling,58845,North Dakota,7/15/19,7/17/19,34,60,63,2019-07-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,57.5,5.5
Climate Nexus,58748,Michigan,7/14/19,7/17/19,43.5,37.166666666666664,46.83333333333333,2019-07-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,50.375,-3.5416666666666714
Rasmussen,58695,National,7/7/19,7/18/19,40,46,53,2019-07-18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,47.25,5.75
Quinnipiac,58733,Ohio,7/17/19,7/22/19,45.166666666666664,44.333333333333336,49.583333333333336,2019-07-22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,50,-0.4166666666666643
Beacon/Shaw,58731,National,7/21/19,7/23/19,44,40.5,48.25,2019-07-23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,53,-4.75
HarrisX,58749,National,7/25/19,7/26/19,33.333333333333336,39.44444444444444,53.05555555555556,2019-07-26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,48.25,4.805555555555557
HarrisX,58795,National,7/26/19,7/27/19,27.071428571428573,36.857142857142854,54.89285714285714,2019-07-27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,53.05555555555556,1.8373015873015817
University of Texas at Tyler,58764,Texas,7/24/19,7/27/19,39.733333333333334,37.88333333333333,49.075,2019-07-27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,50.85714285714286,-1.7821428571428584
Greenberg Quinlan Rosner,58826,National,7/18/19,7/28/19,49,42,46.5,2019-07-28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,54.89285714285714,-8.392857142857139
Emerson,58759,National,7/27/19,7/29/19,49.84,50.16,50.16,2019-07-29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,46.5,3.6599999999999966
Claster Consulting,59544,National,7/29/19,7/31/19,47,41,47,2019-07-31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,50.16,-3.1599999999999966
Fabrizio Ward,59573,Maine,7/29/19,7/31/19,50,44,47,2019-07-31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,47.6,-0.6000000000000014
Fabrizio Ward,59584,Arizona,7/29/19,7/31/19,50,45,47.5,2019-07-31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,52.75,-5.25
Fabrizio Ward,59585,Colorado,7/29/19,7/31/19,51,42,45.5,2019-07-31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,50,-4.5
Fabrizio Ward,59586,Kentucky,7/29/19,7/31/19,41,53,56,2019-07-31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,63.25,-7.25
Fabrizio Ward,59587,North Carolina,7/29/19,7/31/19,49,45,48,2019-07-31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,50.2,-2.200000000000003
TIPP,58803,National,7/25/19,8/1/19,50,44,47,2019-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,47,0
Zogby,58837,Washington,7/22/19,8/1/19,48.8,32.16,41.68,2019-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,50,-8.32
Rasmussen,58793,National,7/21/19,8/1/19,46,45,49.5,2019-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,47,2.5
